Trial  Epoch   LepIsoRank  MetPhiRank  MLLRank  ScoreRank  StatsScore    MLLKS     MetPhiKS  LepIsoKS  SortKey
10     68000   1118        1205        1        57         32.145402     0.056780  0.077340  0.378260  1.000000
6      44000   1094        1316        2        1046       85.926251     0.061500  0.083900  0.375480  2.000000
13     59500   961         1294        3        1204       128.655947    0.063920  0.082520  0.355680  3.000000
4      77500   989         731         4        1095       92.925361     0.064460  0.054300  0.360640  4.000000
6      48000   1333        1696        5        686        59.437329     0.066200  0.112340  0.419100  5.000000
10     65500   823         2022        6        479        51.291246     0.066840  0.160080  0.338160  6.000000
9      86500   77          1870        7        391        47.960957     0.067400  0.131420  0.208780  7.000000
10     62000   1178        1775        8        643        57.432905     0.067680  0.119640  0.386240  8.000000
13     67000   1849        1150        9        993        79.692355     0.068720  0.074720  0.556900  9.000000
4      59000   880         2092        10       590        55.490960     0.069020  0.182140  0.344880  10.000000
6      59500   1352        661         11       375        47.398436     0.069200  0.051580  0.422900  11.000000
4      82000   594         1977        12       943        73.991914     0.069880  0.149560  0.309460  12.000000
8      14000   1727        411         13       2125       5847.244143   0.070580  0.039460  0.516280  13.000000
4      32000   1360        2057        14       454        50.309530     0.071080  0.167960  0.424540  14.000000
14     34000   1646        856         15       1381       304.466727    0.071460  0.060220  0.493320  15.000000
4      63500   1734        1396        16       292        44.736671     0.071520  0.089000  0.518340  16.000000
7      65000   156         786         17       94         34.899351     0.072360  0.056800  0.234540  17.000000
9      67000   687         1722        18       539        53.289540     0.072960  0.115500  0.322660  18.000000
4      74000   1369        1171        19       885        69.906781     0.073020  0.075860  0.425700  19.000000
10     63000   1088        1900        20       428        49.234790     0.073240  0.135660  0.374920  20.000000
13     61000   928         1966        21       1439       405.901865    0.073700  0.147700  0.351400  21.000000
14     84500   936         1087        22       1737       1272.164945   0.073800  0.071880  0.352600  22.000000
12     53000   571         139         23       41         30.737935     0.075540  0.022300  0.305880  23.000000
14     43500   341         1904        24       1299       204.523528    0.075640  0.136180  0.271940  24.000000
13     49500   1558        2139        25       654        58.192989     0.075780  0.221020  0.470940  25.000000
14     79500   1431        1474        26       1566       722.191995    0.075800  0.094360  0.439100  26.000000
9      88000   695         1686        27       319        45.499018     0.075900  0.111020  0.323460  27.000000
10     52000   320         1974        28       307        45.074840     0.076420  0.149120  0.269280  28.000000
9      72000   761         651         29       104        35.464356     0.076640  0.051240  0.331060  29.000000
11     82500   533         588         30       847        66.675887     0.076820  0.047880  0.300400  30.000000
14     75000   992         1125        31       1398       336.848992    0.076920  0.073820  0.360860  31.000000
4      39500   1589        1291        32       813        64.579638     0.077080  0.082000  0.478000  32.000000
4      80500   437         546         33       501        51.896022     0.077120  0.045660  0.288580  33.000000
10     61500   919         2095        34       687        59.510667     0.077160  0.183960  0.350040  34.000000
4      72500   1386        1921        35       639        57.388903     0.077860  0.140140  0.429540  35.000000
4      34500   1215        117         36       1183       118.523820    0.079120  0.019680  0.393300  36.000000
9      85500   389         677         37       871        68.556427     0.079200  0.052200  0.281120  37.000000
4      77000   1326        1718        38       135        37.542625     0.079260  0.115000  0.418040  38.000000
13     77000   1500        92          39       1407       355.075256    0.079440  0.017140  0.455000  39.000000
10     53500   1438        1890        40       726        61.195969     0.079740  0.134580  0.440800  40.000000
9      93500   184         911         41       210        41.180023     0.079880  0.062980  0.244720  41.000000
6      33000   515         1370        42       634        57.158623     0.080020  0.087700  0.298660  42.000000
14     90000   1718        1852        43       1254       162.813669    0.080460  0.128940  0.514160  43.000000
9      91000   1645        2015        44       540        53.302266     0.080520  0.158280  0.492760  44.000000
7      70000   683         1619        45       264        43.420568     0.080540  0.105880  0.321640  45.000000
6      31500   750         1964        46       939        73.684557     0.080640  0.147340  0.329820  46.000000
14     35000   1407        1450        47       1134       103.544254    0.080720  0.092600  0.434620  47.000000
14     96000   945         67          48       1541       640.903389    0.081200  0.013160  0.354140  48.000000
4      35500   476         1546        49       786        63.482171     0.082140  0.099960  0.293120  49.000000
7      87500   941         966         50       200        40.636448     0.082440  0.065540  0.353420  50.000000
14     93000   1473        831         51       1435       394.303199    0.082880  0.058760  0.448360  51.000000
13     72500   442         716         52       1330       236.285554    0.083740  0.053720  0.288980  52.000000
12     48500   53          1738        53       222        41.598973     0.084060  0.116420  0.199020  53.000000
6      51000   698         658         54       633        57.127150     0.084400  0.051460  0.323880  54.000000
9      95500   432         2133        55       509        52.181613     0.085120  0.213960  0.288060  55.000000
6      46500   259         656         56       797        63.893228     0.085140  0.051400  0.258920  56.000000
9      80000   401         842         57       321        45.581027     0.085280  0.059440  0.283120  57.000000
12     62000   1148        1429        58       32         29.961485     0.085540  0.091180  0.381740  58.000000
12     69500   160         298         59       17         27.826635     0.085580  0.032840  0.236480  59.000000
13     53000   920         2035        60       1294       198.899338    0.085760  0.162920  0.350260  60.000000
9      81000   145         719         61       116        36.363537     0.086120  0.053900  0.232460  61.000000
7      58000   570         1129        62       120        36.623628     0.086860  0.074000  0.305860  62.000000
4      44000   710         674         63       725        61.186831     0.087200  0.052040  0.325480  63.000000
12     68000   282         993         64       52         31.681399     0.087480  0.067160  0.262920  64.000000
10     75000   1135        1667        65       188        40.305413     0.087600  0.109800  0.380200  65.000000
10     43000   1188        1194        66       186        40.220007     0.088540  0.077040  0.388260  66.000000
