Trial  Epoch   LepIsoRank  MetPhiRank  MLLRank  ScoreRank  StatsScore     MLLKS     MetPhiKS  LepIsoKS  SortKey
69     63000   15363       44          56       10882      1944.970555    0.055492  0.006300  0.919595  100.000000
56     78000   13844       205         2        11871      2373.698165    0.025668  0.008660  0.700400  207.000000
79     67000   3753        392         112      6845       852.847032     0.063626  0.010302  0.352100  504.000000
37     71000   13671       196         457      15176      7955.375088    0.085561  0.008467  0.686800  653.000000
53     47000   44          560         121      310        147.078510     0.064743  0.012003  0.184261  681.000000
69     86500   11387       669         30       9561       1492.010929    0.048503  0.013042  0.570500  699.000000
45     81500   13886       147         819      15469      11756.687716   0.098342  0.008005  0.704200  966.000000
69     80500   15503       516         456      13494      3585.506791    0.085531  0.011469  0.966700  972.000000
26     61000   145         360         616      1426       231.892347     0.091628  0.010092  0.203300  976.000000
24     63000   15353       979         38       15417      10692.273796   0.050411  0.015317  0.915716  1017.000000
29     26000   15813       683         402      14961      6718.545178    0.083517  0.013129  1.000000  1085.000000
54     94000   7327        493         617      15113      7599.672698    0.091641  0.011277  0.448200  1110.000000
56     70000   12540       139         1006     13924      4159.715403    0.103561  0.007905  0.619526  1145.000000
23     75000   14750       1106        54       15490      12537.438203   0.055141  0.016316  0.793900  1160.000000
45     67500   12208       16          1166     15810      84794.487657   0.108223  0.005437  0.603297  1182.000000
23     24000   7075        235         986      15420      10740.241650   0.103024  0.009006  0.441300  1221.000000
37     66000   12732       519         706      11331      2120.536352    0.094798  0.011494  0.628700  1225.000000
18     35500   1434        1004        234      1492       236.862807     0.073717  0.015530  0.279100  1238.000000
11     89500   14848       332         960      13952      4195.591140    0.102431  0.009890  0.808900  1292.000000
43     91500   7587        275         1037     8461       1204.672985    0.104675  0.009394  0.455700  1312.000000
8      98500   10471       779         600      15339      9536.956291    0.091150  0.013919  0.539700  1379.000000
37     64500   12662       137         1280     13497      3586.256953    0.110944  0.007800  0.625500  1417.000000
23     45000   14707       1214        229      15664      24629.061036   0.073263  0.017114  0.788500  1443.000000
24     33500   6628        928         533      14623      5542.251129    0.088941  0.014994  0.429600  1461.000000
23     72500   13135       151         1355     14871      6326.750139    0.112464  0.008039  0.652326  1506.000000
70     9000    10010       1493        55       13473      3563.716032    0.055231  0.019247  0.524800  1548.000000
24     70000   14372       920         641      13736      3887.111790    0.092617  0.014919  0.746427  1561.000000
79     71500   4495        51          1513     6175       717.060697     0.116486  0.006427  0.372200  1564.000000
6      24500   1903        1092        482      8783       1285.844880    0.086653  0.016219  0.297200  1574.000000
23     62500   12642       811         788      15621      18764.813090   0.097408  0.014138  0.624900  1599.000000
54     89500   8344        1371        233      15436      11079.146242   0.073478  0.018323  0.476456  1604.000000
